Refludan|Lepirudin
Apo Methazide 25|Methyldopa
Dopamet Tab 125mg|Methyldopa
Dopamet Tab 250mg|Methyldopa
Dopamet Tab 500mg|Methyldopa
Medimet 250tab|Methyldopa
Methyldopa|Methyldopa
Methyldopa 125 Tab 125mg|Methyldopa
Methyldopa 250 Tab|Methyldopa
Methyldopa 500 Tab 500mg|Methyldopa
Methyldopa and Hydrochlorothiazide|Methyldopa
Methyldopa Tablets 125mg|Methyldopa
Methyldopa Tablets 250mg|Methyldopa
Methyldopa Tablets 500mg|Methyldopa
Methyldopate Hydrochloride|Methyldopa
Novo-doparil 15 Tab|Methyldopa
Novo-doparil 25 Tab|Methyldopa
Novo-medopa Tab 125mg|Methyldopa
Novo-medopa Tab 250mg|Methyldopa
Novo-medopa Tab 500mg|Methyldopa
Nu-medopa Tab 125mg|Methyldopa
Nu-medopa Tab 250mg|Methyldopa
Nu-medopa Tab 500mg|Methyldopa
PMS-dopazide 15 Tab|Methyldopa
PMS-dopazide-25 Tab|Methyldopa
Alosetron Hydrochloride|Alosetron
Lotronex|Alosetron
Cosmegen|Dactinomycin
Antidandruff MEDICATED|Selenium Sulfide
Care One MEDICATED|Selenium Sulfide
Care One MOISTURIZING|Selenium Sulfide
Careone MEDICATED DANDRUFF|Selenium Sulfide
Careone Moisturizing Dandruff|Selenium Sulfide
Careone MOISTURIZING DANDRUFF|Selenium Sulfide
Cvs Pharmacy Dandruff Moisturizing with Aloe|Selenium Sulfide
Cvs Pharmacy MAXIMUM STRENGTH DANDRUFF|Selenium Sulfide
Cvs Pharmacy MEDICATED|Selenium Sulfide
Dandruff|Selenium Sulfide
Dg Body MEDICATED DANDRUFF|Selenium Sulfide
Equaline ALOE|Selenium Sulfide
Equaline CLINICAL STRENGTH|Selenium Sulfide
Equaline MEDICATED DANDRUFF|Selenium Sulfide
Equaline MENTHOL|Selenium Sulfide
Equaline MOISTURIZING DANDRUFF|Selenium Sulfide
Equaline Moisturizing Dandruff Medicated Formula|Selenium Sulfide
Equate|Selenium Sulfide
Equate ALOE|Selenium Sulfide
Equate CLINICAL STRENGTH DANDRUFF|Selenium Sulfide
Equate CRITICAL STRENGTH|Selenium Sulfide
Equate MEDICATED DANDRUFF|Selenium Sulfide
Equate MOISTURIZING DANDRUFF|Selenium Sulfide
Head and Shoulders Clinical Strength|Selenium Sulfide
Healthy Accents|Selenium Sulfide
Healthy Accents MEDICATED DANDRUFF|Selenium Sulfide
Heb Dandruff|Selenium Sulfide
Kroger MEDICATED DANDRUFF|Selenium Sulfide
Lethechniq Dandruff Moisturizing|Selenium Sulfide
Medicated Dandruff|Selenium Sulfide
Medicated Dandruff MAXIMUM STRENGTH|Selenium Sulfide
Moisturizing Selsun Blue|Selenium Sulfide
Naturaltech Purifying Anti-dandruff|Selenium Sulfide
Renewal DANDRUFF MOISTURIZING|Selenium Sulfide
Renewal MEDICATED|Selenium Sulfide
Rexall ALOE|Selenium Sulfide
Rite Aid MEDICATED DANDRUFF|Selenium Sulfide
Rite Aid Moisturizing Dandruff Medicated Formula|Selenium Sulfide
Rite Aid Renewal CLINICAL|Selenium Sulfide
Rite Aid Renewal MEDICATED|Selenium Sulfide
Rugby Anti-dandruff|Selenium Sulfide
Safeway Care MEDICATED DANDRUFF|Selenium Sulfide
Safeway MEDICATED DANDRUFF|Selenium Sulfide
Selenium Sulfide|Selenium Sulfide
Selsun Azul Revitalizante|Selenium Sulfide
Selsun Azul Suave Y Manejable Humectante|Selenium Sulfide
Selsun Blue 2-in-1|Selenium Sulfide
Selsun Blue Accion Humetante|Selenium Sulfide
Selsun Blue Medicated|Selenium Sulfide
Selsun Blue Moisturizing|Selenium Sulfide
Selsun Blue Normal To Oily|Selenium Sulfide
Selsun Blue, 2-in-1|Selenium Sulfide
Selsun Blue, Normal Oily Hair|Selenium Sulfide
Selsun Oro|Selenium Sulfide
Topcare GENTLE DANDRUFF CLINICAL STRENGTH|Selenium Sulfide
Topcare MEDICATED DANDRUFF|Selenium Sulfide
Astelin|Azelastine
Astepro|Azelastine
Azelastine Hcl Nasal|Azelastine
Azelastine Hydrochloride|Azelastine
Optivar|Azelastine
Ach-ezetimibe|Ezetimibe
Act Ezetimibe|Ezetimibe
Apo-ezetimibe|Ezetimibe
Bio-ezetimibe|Ezetimibe
Ezetimibe|Ezetimibe
Ezetrol|Ezetimibe
Ipg-ezetimibe|Ezetimibe
Jamp-ezetimibe|Ezetimibe
Liptruzet|Ezetimibe
Mar-ezetimibe|Ezetimibe
Mint-ezetimibe|Ezetimibe
Mylan-ezetimibe|Ezetimibe
PMS-ezetimibe|Ezetimibe
Priva-ezetimibe|Ezetimibe
Ran-ezetimibe|Ezetimibe
Riva-ezetimibe|Ezetimibe
Sandoz Ezetimibe|Ezetimibe
Teva-ezetimibe|Ezetimibe
Zetia|Ezetimibe
Calcium Disodium Versenate|Edetic Acid
Apo-dipyridamole-fc Tab 25mg|Dipyridamole
Apo-dipyridamole-fc Tab 50mg|Dipyridamole
Apo-dipyridamole-fc Tab 75mg|Dipyridamole
Apo-dipyridamole-sc Tab 25mg|Dipyridamole
Apo-dipyridamole-sc Tab 50mg|Dipyridamole
Apo-dipyridamole-sc Tab 75mg|Dipyridamole
Dipyridamole|Dipyridamole
Dipyridamole 25 Tab 25mg|Dipyridamole
Dipyridamole 50 Tab 50mg|Dipyridamole
Dipyridamole 75 Tab|Dipyridamole
Dipyridamole for Injection|Dipyridamole
Dipyridamole Injection, USP|Dipyridamole
Dipyridamole-25|Dipyridamole
Dipyridamole-50|Dipyridamole
Dipyridamole-75|Dipyridamole
Novo-dipiradol Sct 100mg|Dipyridamole
Novo-dipiradol Tab 25mg|Dipyridamole
Novo-dipiradol Tab 50mg|Dipyridamole
Novo-dipiradol Tab 75mg|Dipyridamole
Persantine|Dipyridamole
Persantine Tab 100mg|Dipyridamole
Persantine Tab 25mg|Dipyridamole
Persantine Tab 50mg|Dipyridamole
Persantine Tab 75mg|Dipyridamole
Ketek|Telithromycin
Cléo -35|Ethinyl Estradiol
Cyestra-35|Ethinyl Estradiol
Diane-35|Ethinyl Estradiol
Drospirenone and Ethinyl Estradiol Tablets 21|Ethinyl Estradiol
Drospirenone and Ethinyl Estradiol Tablets 28|Ethinyl Estradiol
Drospirenone and Ethinyl Estradiol Tablets USP (21-day Regimen)|Ethinyl Estradiol
Drospirenone and Ethinyl Estradiol Tablets USP (28-day Regimen)|Ethinyl Estradiol
Estinyl Tab 0.05mg|Ethinyl Estradiol
Estinyl Tab 0.5mg|Ethinyl Estradiol
Estinyl Tablets 0.02 Mg.|Ethinyl Estradiol
Evra   -(6/0.60)|Ethinyl Estradiol
Evra   -(6/0.75)|Ethinyl Estradiol
Mya|Ethinyl Estradiol
Nikki|Ethinyl Estradiol
Novo-cyproterone/ethinyl Estradiol|Ethinyl Estradiol
Ortho Evra|Ethinyl Estradiol
Qismette 21|Ethinyl Estradiol
Qismette 28|Ethinyl Estradiol
Ran-cyproterone/ethinyl Estradiol|Ethinyl Estradiol
Xulane|Ethinyl Estradiol
Yasmin 21|Ethinyl Estradiol
Yasmin 28|Ethinyl Estradiol
Yaz|Ethinyl Estradiol
Zamine 21|Ethinyl Estradiol
Zamine 28|Ethinyl Estradiol
Zarah 21|Ethinyl Estradiol
Zarah 28|Ethinyl Estradiol
Ak Pentolate Oph Soln 0.5%|Cyclopentolate
Ak Pentolate Oph Soln 1%|Cyclopentolate
Ak-pentolate|Cyclopentolate
Cyclogyl|Cyclopentolate
Cyclogyl Oph Dps 1%|Cyclopentolate
Cyclopentolate Hydrochloride|Cyclopentolate
Diopentolate 0.5% Solution|Cyclopentolate
Diopentolate 1% Solution|Cyclopentolate
Dom-cyclopentolate Hcl Ophtalmic Solution-1%|Cyclopentolate
Minims Cyclopentolate Hydrochloride 0.5%|Cyclopentolate
Minims Cyclopentolate Hydrochloride 1%|Cyclopentolate
PMS-cyclopentolate Hcl Oph Solution 1%|Cyclopentolate
Rozerem|Ramelteon
Absorica|Isotretinoin
Accutane Roche|Isotretinoin
Amnesteem|Isotretinoin
Claravis|Isotretinoin
Clarus|Isotretinoin
Epuris|Isotretinoin
Isotrex Gel 0.05%|Isotretinoin
Myorisan|Isotretinoin
Ran-isotretinoin|Isotretinoin
Zenatane|Isotretinoin
Duaklir Genuair|Formoterol
Foradil|Formoterol
Oxeze Turbuhaler|Formoterol
Perforomist|Formoterol
Symbicort 100 Turbuhaler|Formoterol
Symbicort 200 Turbuhaler|Formoterol
Symbicort Forte Turbuhaler|Formoterol
Airmit Ace|Dimenhydrinate
Alveda Dimenhydrinate Injection USP 50 mg/ml|Dimenhydrinate
Anti-nauseant|Dimenhydrinate
Anti-nauseant Tablet|Dimenhydrinate
Apo Dimenhydrinate Tab 50mg|Dimenhydrinate
Children's Motion Sickness Liq|Dimenhydrinate
Dimenhydrinate|Dimenhydrinate
Dimenhydrinate 50mg|Dimenhydrinate
Dimenhydrinate Capsules|Dimenhydrinate
Dimenhydrinate Inj 10mg|Dimenhydrinate
Dimenhydrinate Inj 10mg/ml|Dimenhydrinate
Dimenhydrinate Inj 50mg USP|Dimenhydrinate
Dimenhydrinate Injection 50mg/ml|Dimenhydrinate
Dimenhydrinate Injection USP 250mg/5ml (50mg/ml)|Dimenhydrinate
Dimenhydrinate Injection USP With Preservative|Dimenhydrinate
Dimenhydrinate Injection, USP|Dimenhydrinate
Dimenhydrinate Liquid for Children|Dimenhydrinate
Dimenhydrinate Tab 50mg|Dimenhydrinate
Dimenhydrinate Tab 50mg USP|Dimenhydrinate
Dimenhydrinate Tablet USP 50mg|Dimenhydrinate
Dimenhydrinate Tablets|Dimenhydrinate
Dinate|Dimenhydrinate
Dramamine|Dimenhydrinate
Dramamine For Kids|Dimenhydrinate
Dramamine Orange|Dimenhydrinate
Dramamine Original Formula|Dimenhydrinate
Driminate|Dimenhydrinate
Gravol Capsules Long Acting 75mg|Dimenhydrinate
Gravol Comfort Shaped Suppositories|Dimenhydrinate
Gravol Easy To Swallow Tablets|Dimenhydrinate
Gravol Filmkote Tab 15mg|Dimenhydrinate
Gravol Im|Dimenhydrinate
Gravol Immediate Release & Long Acting Caplets|Dimenhydrinate
Gravol IV Ampoules|Dimenhydrinate
Gravol Junior Suppositories 50mg|Dimenhydrinate
Gravol Kids Comfort Shaped Suppositories|Dimenhydrinate
Gravol Kids Liquid|Dimenhydrinate
Gravol Kids Quick Dissolve Chewable|Dimenhydrinate
Gravol Long Acting Caplet|Dimenhydrinate
Gravol Quick Dissolve Chewable|Dimenhydrinate
Gravol Tab 25mg|Dimenhydrinate
Gravol Tastefree Liquid Gel Capsules|Dimenhydrinate
Jamp-dimenhydrinate 50 Mg Tablets|Dimenhydrinate
Motion Sickness Children's Chewable Tablets|Dimenhydrinate
Motion Sickness Original Formula|Dimenhydrinate
Motion Sickness Original formula|Dimenhydrinate
Motion Sickness Relief Original Formula|Dimenhydrinate
Motion Sickness Tab 50mg|Dimenhydrinate
Motion Sickness Tablets 50mg|Dimenhydrinate
Nauseatol|Dimenhydrinate
Nausex Tab 50mg|Dimenhydrinate
Orb-dimenhydrinate Tablets USP|Dimenhydrinate
Original Formula Motion Sickness Relief|Dimenhydrinate
Pac-kit Motion Sickness|Dimenhydrinate
Physicianscare Dimenhydrinate Motion Sickness Relief|Dimenhydrinate
PMS-dimenhydrinate Syr 3mg/ml|Dimenhydrinate
PMS-dimenhydrinate Tab 50mg|Dimenhydrinate
Riva-dimenhydrinate Tablets|Dimenhydrinate
Sandoz Dimenhydrinate|Dimenhydrinate
Sicknol|Dimenhydrinate
Teva-dimenate|Dimenhydrinate
Travamine Sup 50mg|Dimenhydrinate
Travamine Tab 50mg|Dimenhydrinate
Travel Sickness|Dimenhydrinate
Travel Tabs|Dimenhydrinate
Travel Tabs 50 mg|Dimenhydrinate
Travelmate Tab 50mg|Dimenhydrinate
Travelmate-dimenhydrinate Tablets 50mg|Dimenhydrinate
Traveltabs 50mg|Dimenhydrinate
Wal-dram|Dimenhydrinate
Cuvposa|Glycopyrrolate
Glycate|Glycopyrrolate
Glycopyrrolate|Glycopyrrolate
Glycopyrrolate Injection|Glycopyrrolate
Glycopyrrolate Injection Multidose|Glycopyrrolate
Glycopyrrolate Injection USP|Glycopyrrolate
Robinul|Glycopyrrolate
Robinul 0.2mg/ml Liq Inj|Glycopyrrolate
Robinul Forte|Glycopyrrolate
Robinul Forte Tab 2mg|Glycopyrrolate
Robinul Tab 1mg|Glycopyrrolate
Robinul-forte Tab 2mg|Glycopyrrolate
Seebri Breezhaler|Glycopyrrolate
Ultibro Breezhaler|Glycopyrrolate
Aj-cytarabine|Cytarabine
Cytarabine|Cytarabine
Cytarabine - Pws 1gn/vial|Cytarabine
Cytarabine - Pws 2gm/vial|Cytarabine
Cytarabine - Pws 500mg/vial|Cytarabine
Cytarabine Inj 100mg/ml|Cytarabine
Cytarabine Injection|Cytarabine
Cytarabine Injection BP|Cytarabine
Cytarabine Injection, Mylan Std.|Cytarabine
Cytarabine-pws 100mg/vial|Cytarabine
Cytosar|Cytarabine
Depocyt|Cytarabine
Dopamine|Dopamine
Dopamine Hcl|Dopamine
Dopamine Hcl Inj 4%|Dopamine
Dopamine Hydrochloride|Dopamine
Dopamine Hydrochloride and Dextrose|Dopamine
Intropin Injection 40mg/ml|Dopamine
Apo-rivastigmine|Rivastigmine
Auro-rivastigmine|Rivastigmine
Dom-rivastigmine|Rivastigmine
Exelon|Rivastigmine
Exelon 1.5 mg|Rivastigmine
Exelon Patch 10|Rivastigmine
Exelon Patch 15|Rivastigmine
Exelon Patch 5|Rivastigmine
Med-rivastigmine|Rivastigmine
Mint-rivastigmine|Rivastigmine
Mylan-rivastigmine|Rivastigmine
Novo-rivastigmine|Rivastigmine
PHL-rivastigmine|Rivastigmine
PMS-rivastigmine|Rivastigmine
Ratio-rivastigmine|Rivastigmine
Rivastigmine|Rivastigmine
Rivastigmine Tartrate|Rivastigmine
Rivastigmine Tartrate Capsules|Rivastigmine
Rivastigmine Transdermal System|Rivastigmine
Sandoz Rivastigmine|Rivastigmine
Sandoz Rivastigmine Patch 10|Rivastigmine
Sandoz Rivastigmine Patch 5|Rivastigmine
Act Exemestane|Exemestane
Apo-exemestane|Exemestane
Aromasin|Exemestane
Exemestane|Exemestane
Gd-exemestane|Exemestane
Med-exemestane|Exemestane
Mylan-exemestane|Exemestane
Apo-oxaprozin|Oxaprozin
Daypro|Oxaprozin
Oxaprozin|Oxaprozin
Rhoxal-oxaprozin|Oxaprozin
Metvix|Methyl aminolevulinate
Apo-azathioprine|Azathioprine
Azasan|Azathioprine
Azathioprine|Azathioprine
Azathioprine Sodium for Injection|Azathioprine
Azathioprine-50|Azathioprine
Imuran|Azathioprine
Imuran Inj 100mg|Azathioprine
Mylan-azathioprine|Azathioprine
Nu-azathioprine|Azathioprine
Ratio-azathioprine|Azathioprine
Riva-azathioprine 50 mg|Azathioprine
Teva-azathioprine|Azathioprine
Baclezene|Neomycin
Family Care Antibiotic|Neomycin
Family Care Triple Antibiotic Pain Relief|Neomycin
Mycifradin Sulfate Oral Solution|Neomycin
Mycifradin Sulfate Tablets 0.5 Gm|Neomycin
Myciguent Ointment|Neomycin
Neo-fradin|Neomycin
Neodecadron Eye Ear Soln 0.1%|Neomycin
Neomycin Sulfate|Neomycin
Pomada De Sulfa|Neomycin
Vitacilina|Neomycin
Vitacilina Neomycin Sulfate First Aid Antibiotic|Neomycin
Water-jel Neomycin Antibiotic|Neomycin
Ridaura|Auranofin
Apo-gabapentin|Gabapentin
Apo-gabapentin Capsules|Gabapentin
Auro-gabapentin|Gabapentin
Auro-gabapentin Tablets|Gabapentin
Bci Gabapentin|Gabapentin
Co Gabapentin Capsules 100mg|Gabapentin
Co Gabapentin Capsules 300mg|Gabapentin
Co Gabapentin Capsules 400mg|Gabapentin
Dom-gabapentin|Gabapentin
Gabapentin|Gabapentin
Gabapentin Capsules|Gabapentin
Gabapentin Capsules USP|Gabapentin
Gabapentin Tablets USP|Gabapentin
Gd-gabapentin|Gabapentin
Gralise|Gabapentin
Ipg-gabapentin|Gabapentin
Jamp-gabapentin|Gabapentin
Jamp-gabapentin Tablets|Gabapentin
Mar-gabapentin|Gabapentin
Mint-gabapentin|Gabapentin
Mylan-gabapentin|Gabapentin
Neurontin|Gabapentin
Neurontin 600mg|Gabapentin
Neurontin 800mg|Gabapentin
Neurontin Cap 100mg|Gabapentin
Neurontin Cap 300mg|Gabapentin
Neurontin Cap 400mg|Gabapentin
Ntp-gabapentin|Gabapentin
Nu-gabapentin Capsules|Gabapentin
Pendo-gabapentin|Gabapentin
PHL-gabapentin|Gabapentin
PMS-gabapentin|Gabapentin
Pro-gabapentin|Gabapentin
Ran-gabapentin|Gabapentin
Ratio-gabapentin|Gabapentin
Riva-gabapentin|Gabapentin
Taro-gabapentin|Gabapentin
Teva-gabapentin|Gabapentin
Van-gabapentin|Gabapentin
Adriamycin Pfs|Doxorubicin
Adriamycin Rdf|Doxorubicin
Adriamycin Rdf Inj 10mg/vial|Doxorubicin
Adriamycin Rdf Inj 150mg/vial|Doxorubicin
Adriamycin Rdf Inj 50mg/vial|Doxorubicin
Caelyx|Doxorubicin
Doxil|Doxorubicin
Doxorubicin|Doxorubicin
Doxorubicin Hcl for Inj. U.S.P. 10mg/vial|Doxorubicin
Doxorubicin Hcl for Inj. U.S.P. 150mg/vial|Doxorubicin
Doxorubicin Hcl for Inj. U.S.P. 50mg/vial|Doxorubicin
Doxorubicin Hydrochloride|Doxorubicin
Doxorubicin Hydrochloride for Injection USP|Doxorubicin
Doxorubicin Hydrochloride Injection|Doxorubicin
Doxorubicin Hydrochloride Injection, USP|Doxorubicin
Doxorubicin Injection|Doxorubicin
Myocet|Doxorubicin
Apo-frovatriptan|Frovatriptan
Frova|Frovatriptan
Frovatriptan Succinate|Frovatriptan
Teva-frovatriptan|Frovatriptan
Act Irbesartan/hct|Hydrochlorothiazide
Apo Hydro Tab 100mg|Hydrochlorothiazide
Apo Hydro Tab 25mg|Hydrochlorothiazide
Apo Hydro Tab 50mg|Hydrochlorothiazide
Apo-cilazapril/hctz|Hydrochlorothiazide
Apo-hydro|Hydrochlorothiazide
Apo-irbesartan/hctz|Hydrochlorothiazide
Ava-hydrochlorothiazide|Hydrochlorothiazide
Ava-irbesartan/hctz|Hydrochlorothiazide
Avalide|Hydrochlorothiazide
Avalide 150/12.5 mg|Hydrochlorothiazide
Avalide 300/12.5 mg|Hydrochlorothiazide
Bio-hydrochlorothiazide|Hydrochlorothiazide
Captopril and Hydrochlorothiazide|Hydrochlorothiazide
Diuchlor H Tab 50mg|Hydrochlorothiazide
Dom-hydrochlorothiazide|Hydrochlorothiazide
Dom-irbesartan-hctz|Hydrochlorothiazide
Hydrochlorothiazide|Hydrochlorothiazide
Hydrochlorothiazide 100 Tab|Hydrochlorothiazide
Hydrochlorothiazide 100mg Tablets|Hydrochlorothiazide
Hydrochlorothiazide 25mg Tablets|Hydrochlorothiazide
Hydrochlorothiazide 50|Hydrochlorothiazide
Hydrochlorothiazide 50mg Tablets|Hydrochlorothiazide
Hydrochlorothiazide Tab 25mg|Hydrochlorothiazide
Hydrochlorothiazide Tab 50mg|Hydrochlorothiazide
Hydrochlorothiazide Tablets 25mg|Hydrochlorothiazide
Hydrochlorothiazide Tablets 50mg|Hydrochlorothiazide
Hydrodiuril Tab 100mg|Hydrochlorothiazide
Hydrodiuril Tab 25mg|Hydrochlorothiazide
Hydrodiuril Tab 50mg|Hydrochlorothiazide
Inhibace Plus - Tab|Hydrochlorothiazide
Irbesartan and Hydrochlorothiazide|Hydrochlorothiazide
Irbesartan Hct|Hydrochlorothiazide
Irbesartan-hctz|Hydrochlorothiazide
Irbesartan/hct|Hydrochlorothiazide
Irbesartan/hctz|Hydrochlorothiazide
Jamp-irbesartan and Hydrochlorothiazide|Hydrochlorothiazide
Microzide|Hydrochlorothiazide
Mint-hydrochlorothiazide|Hydrochlorothiazide
Mint-irbesartan/hctz|Hydrochlorothiazide
Mylan-irbesartan Hctz|Hydrochlorothiazide
Neo Codema 25mg|Hydrochlorothiazide
Neo Codema 50mg|Hydrochlorothiazide
Novo-cilazapril/hctz|Hydrochlorothiazide
Ntp-hydrochlorothiazide|Hydrochlorothiazide
Nu-hydro|Hydrochlorothiazide
Pendo-irbesartan-hctz|Hydrochlorothiazide
PHL-hydrochlorothiazide|Hydrochlorothiazide
PMS-hydrochlorothiazide|Hydrochlorothiazide
PMS-irbesartan-hctz|Hydrochlorothiazide
Ran-irbesartan Hctz|Hydrochlorothiazide
Rasilez Hct|Hydrochlorothiazide
Ratio-irbesartan Hctz|Hydrochlorothiazide
Sandoz Irbesartan Hct|Hydrochlorothiazide
Tekturna Hct|Hydrochlorothiazide
Teva-hydrochlorothiazide|Hydrochlorothiazide
Teva-irbesartan/hctz|Hydrochlorothiazide
Urozide|Hydrochlorothiazide
Van-irbesartan-hctz|Hydrochlorothiazide
Airomir|Salbutamol
Albuterol|Salbutamol
Albuterol Sulfate|Salbutamol
Albuterol Sulfate ER|Salbutamol
Apo-salvent 5mg/ml|Salbutamol
Apo-salvent Aem 100mcg|Salbutamol
Apo-salvent Cfc Free|Salbutamol
Apo-salvent Sterules|Salbutamol
Apo-salvent Tablets - 2mg|Salbutamol
Apo-salvent Tablets - 4mg|Salbutamol
Asmavent Nebules P.F.|Salbutamol
Asmavent Respirator Solution  Inh 5mg/ml|Salbutamol
Bci Salbutamol Inhalation Solution|Salbutamol
Dom-salbutamol Respirator Solution-1mg/ml|Salbutamol
Levalbuterol|Salbutamol
Levalbuterol Inhalation|Salbutamol
Med Salbutamol Inhalation Solution 1mg/ml|Salbutamol
Mylan-salbutamol Respirator Solution|Salbutamol
Novo-salbutamol Hfa|Salbutamol
Novo-salmol Inhaler 100mcg/aem|Salbutamol
Novo-salmol Tab 2mg|Salbutamol
Novo-salmol Tab 4mg|Salbutamol
Nu-salbutamol - Tab 2mg|Salbutamol
Nu-salbutamol - Tab 4mg|Salbutamol
Nu-salbutamol Plastic Ampules  2 mg/ml|Salbutamol
Nu-salbutamol Plastic Ampules 1 mg/ml|Salbutamol
PHL-salbutamol Oral Liquid|Salbutamol
PHL-salbutamol Respirator Solution|Salbutamol
PMS-salbutamol|Salbutamol
PMS-salbutamol Oral Liquid|Salbutamol
Proair HFA|Salbutamol
Proair Respiclick|Salbutamol
Proairhfa HFA|Salbutamol
Proventil Hfa|Salbutamol
Ratio-salbutamol|Salbutamol
Ratio-salbutamol Hfa|Salbutamol
Sabulin Inhaler 100mcg/metered Dose Aerosol|Salbutamol
Salbu-2 - Tab 2mg|Salbutamol
Salbu-4 - Tab 4mg|Salbutamol
Salbutamol Hfa|Salbutamol
Salbutamol Inhalation Solution|Salbutamol
Salbutamol Inhalation Solution P.F.-1mg/ml|Salbutamol
Salbutamol Nebuamp 0.05%|Salbutamol
Salbutamol Nebuamp 0.1%|Salbutamol
Salbutamol Nebuamp 0.2%|Salbutamol
Sandoz Salbutamol|Salbutamol
Teva-salbutamol Sterinebs P.F.|Salbutamol
Ventodisk 200mcg|Salbutamol
Ventodisk 400mcg|Salbutamol
Ventodisk Pwr 200mcg/blister|Salbutamol
Ventodisk Pwr 400mcg/blister|Salbutamol
Ventolin Diskus|Salbutamol
Ventolin HFA|Salbutamol
Ventolin Hfa|Salbutamol
Ventolin I.M. Injection 0.5mg Salbutamol In 1 Ml (500mcg/ml)|Salbutamol
Ventolin I.V. Bolus Injection 0.25mg Salbutamol In 5ml (50mcg/ml)|Salbutamol
Ventolin I.V. Infusion Solution 5.0mg Salbutamol In 5ml (1000mcg/ml)|Salbutamol
Ventolin Im Inj 0.5mg/ml|Salbutamol
Ventolin Inhaler|Salbutamol
Ventolin Inhaler 100mcg/aem|Salbutamol
Ventolin Injection Liq IV 5mg/5ml|Salbutamol
Ventolin IV Bolus Inj 0.05mg/ml|Salbutamol
Ventolin Nebules P.F. - 2.5mg/2.5ml|Salbutamol
Ventolin Nebules P.F. - 5mg/2.5ml|Salbutamol
Ventolin Nebules P.F. Liq Inh 1.25mg/2.5ml|Salbutamol
Ventolin Nebules P.F. Sol 2.5mg/2.5ml|Salbutamol
Ventolin Nebules P.F.- 1.25mg/2.5ml|Salbutamol
Ventolin Nebules Pf Sol 5mg/2.5ml|Salbutamol
Ventolin Oral Liquid|Salbutamol
Ventolin Oral Liquid 0.4mg/ml|Salbutamol
Ventolin Respirator Solution|Salbutamol
Ventolin Respirator Solution 5mg/ml|Salbutamol
Ventolin Rotacaps|Salbutamol
Ventolin Rotacaps 200mcg|Salbutamol
Ventolin Rotacaps 400mcg|Salbutamol
Ventolin Tab 4mg|Salbutamol
Ventolinhfa HFA|Salbutamol
Vospire ER|Salbutamol
Allergan Eye Itch Relief|Cromoglicic acid
Anti-allergy Eye Drops|Cromoglicic acid
Apo-cromolyn Nasal Spray|Cromoglicic acid
Apo-cromolyn Sterules|Cromoglicic acid
Cromolyn Eye Drops|Cromoglicic acid
Cromolyn Sodium|Cromoglicic acid
Gastrocrom|Cromoglicic acid
Gen-cromoglycate Sterinebs - Liq Inh 1%|Cromoglicic acid
Gen-cromolyn Nasal Spray|Cromoglicic acid
Intal Inhaler|Cromoglicic acid
Intal Nebulizer 1%|Cromoglicic acid
Intal Spincaps 20mg|Cromoglicic acid
Intal Syncroner|Cromoglicic acid
Nalcrom|Cromoglicic acid
Nasalcrom|Cromoglicic acid
Novo-cromolyn Nebulizer Solution 1%|Cromoglicic acid
Nu-cromolyn|Cromoglicic acid
Nu-cromolyn Plastic Ampules|Cromoglicic acid
Opticrom|Cromoglicic acid
Opticrom Liq 2%|Cromoglicic acid
PMS-sodium Cromoglycate|Cromoglicic acid
Rhinaris-cs Anti-allergic Nasal Mist|Cromoglicic acid
Rynacrom Solution 2%|Cromoglicic acid
Solu-crom|Cromoglicic acid
Vistacrom Eye Ointment 4%|Cromoglicic acid
Vistacrom Liq 2%|Cromoglicic acid
Cytovene - Cap 250mg|Ganciclovir
Cytovene - Pws 500mg/10m/-vial IV|Ganciclovir
Cytovene Inj 500mg/vial|Ganciclovir
Cytovene IV|Ganciclovir
Cytovene, 500 mg|Ganciclovir
Ganciclovir|Ganciclovir
Ganciclovir for Injection|Ganciclovir
Vitrasert, Intravitreal Implant|Ganciclovir
Zirgan|Ganciclovir
Apo-hydroxyurea|Hydroxyurea
Droxia|Hydroxyurea
Hydrea|Hydroxyurea
Hydrea Cap 500mg|Hydroxyurea
Hydroxyurea|Hydroxyurea
Mylan-hydroxyurea|Hydroxyurea
Accel-letrozole Tablets USP|Letrozole
Ach-letrozole|Letrozole
Ag-letrozole|Letrozole
Apo-letrozole|Letrozole
Auro-letrozole|Letrozole
Bio-letrozole|Letrozole
Co Letrozole|Letrozole
Dom-letrozole|Letrozole
Femara|Letrozole
Femara 2.5mg|Letrozole
Ipg-letrozole|Letrozole
Jamp-letrozole|Letrozole
Letrozole|Letrozole
Letrozole Sun|Letrozole
Letrozole Tablets|Letrozole
Mar-letrozole|Letrozole
Med-letrozole|Letrozole
Myl-letrozole|Letrozole
Mylan-letrozole|Letrozole
Nat-letrozole|Letrozole
PHL-letrozole|Letrozole
PMS-letrozole|Letrozole
Ran-letrozole|Letrozole
Riva-letrozole|Letrozole
Sandoz Letrozole|Letrozole
Stason-letrozole|Letrozole
Teva-letrozole|Letrozole
Van-letrozole|Letrozole
Zinda-letrozole|Letrozole
Equate Tioconazole 1 Day|Tioconazole
Good Neighbor Pharmacy Tioconazole 1|Tioconazole
Gynecure External Cream 1% (refill)|Tioconazole
Gynecure Vaginal Ointment 6.5% W/w|Tioconazole
Gynecure Vaginal Ovule 300mg|Tioconazole
Healthy Accents Tioconazole 1|Tioconazole
